1.0	4	5	0.43	243.73	2.34	10.47	0.31	0.53	4.9
1.0	16	4	0.61	192.16	2.84	8.95	0.38	0.54	14.27
1.0	28	5	0.59	221.58	3.33	8.66	0.32	0.57	24.03
1.0	26	9	0.53	316.25	2.92	11.65	0.33	0.55	23.36
1.0	12	8	0.49	254.71	2.19	10.61	0.33	0.58	12.03
1.0	19	8	0.58	273.83	3.77	11.61	0.33	0.49	17.41
1.0	9	5	0.51	246.26	1.76	14.38	0.39	0.42	8.64
1.0	27	5	0.45	193.87	1.45	14.99	0.36	0.44	24.08
1.0	29	9	0.47	210.82	4.38	11.86	0.39	0.53	26.24
1.0	15	9	0.55	213.28	4.5	12.82	0.35	0.54	14.4
1.0	20	3	0.36	197.0	4.88	11.65	0.31	0.58	18.38
1.0	21	9	0.49	223.66	2.2	9.25	0.38	0.39	19.14
1.0	28	9	0.46	205.05	4.03	9.81	0.37	0.59	24.48
1.0	3	4	0.44	296.61	4.38	11.73	0.35	0.37	3.38
1.0	15	3	0.48	288.59	1.61	14.35	0.38	0.4	14.89
1.0	13	3	0.42	221.81	4.78	10.74	0.27	0.6	13.4
1.0	21	3	0.54	327.5	4.39	14.86	0.36	0.45	18.45
1.0	31	9	0.48	308.35	1.39	9.27	0.35	0.59	26.84
1.0	6	5	0.49	226.64	3.7	12.39	0.35	0.53	6.65
1.0	8	9	0.53	315.02	4.46	10.62	0.36	0.4	8.76
1.0	26	9	0.4	211.03	2.87	8.61	0.32	0.37	25.6
1.0	22	7	0.44	242.38	1.6	8.96	0.32	0.4	19.58
1.0	18	8	0.53	244.14	3.69	9.06	0.27	0.42	17.01
1.0	21	4	0.48	313.27	4.29	14.27	0.29	0.4	18.11
1.0	11	6	0.38	259.11	3.52	8.82	0.39	0.38	10.35
1.0	29	5	0.52	245.95	3.55	11.46	0.37	0.58	24.77
1.0	17	9	0.53	187.16	1.57	12.18	0.32	0.58	16.69
1.0	21	5	0.57	292.67	4.24	11.5	0.35	0.36	19.59
1.0	13	5	0.37	258.26	4.67	12.09	0.29	0.46	12.09
1.0	31	6	0.48	196.92	3.99	13.33	0.32	0.38	29.53
1.0	24	6	0.41	257.95	2.66	14.02	0.29	0.37	21.73
1.0	23	6	0.51	289.23	1.92	13.96	0.39	0.42	23.83
1.0	28	7	0.46	270.78	1.47	12.1	0.31	0.43	28.2
1.0	5	6	0.45	316.78	3.27	11.33	0.38	0.45	5.8
1.0	5	7	0.38	220.73	4.23	13.64	0.28	0.38	5.65
1.0	10	6	0.55	210.1	4.84	11.08	0.35	0.53	9.35
1.0	9	8	0.57	213.45	4.58	9.36	0.32	0.51	10.06
1.0	17	7	0.52	278.38	3.14	14.15	0.27	0.4	15.96
1.0	30	8	0.42	324.94	2.3	12.54	0.38	0.46	30.61
1.0	8	4	0.5	187.47	4.04	9.28	0.33	0.52	8.28
1.0	4	4	0.46	189.59	4.07	8.18	0.31	0.44	4.89
1.0	14	6	0.4	198.9	1.62	10.63	0.35	0.49	13.36
1.0	19	5	0.38	274.66	1.42	9.94	0.29	0.48	17.87
1.0	3	9	0.46	268.98	4.26	9.33	0.31	0.43	5.88
1.0	4	3	0.6	270.61	4.97	11.4	0.38	0.46	4.13
1.0	21	3	0.57	230.44	3.92	12.05	0.38	0.59	18.03
1.0	6	7	0.38	247.2	4.24	12.23	0.35	0.43	6.96
1.0	27	3	0.36	190.31	3.89	9.14	0.36	0.46	22.92
1.0	31	4	0.4	274.38	3.98	8.43	0.32	0.56	26.05
1.0	19	6	0.42	199.69	2.54	13.31	0.32	0.59	20.62
1.0	15	4	0.52	267.78	2.15	12.72	0.31	0.57	14.2
1.0	11	9	0.51	253.84	3.97	10.55	0.3	0.48	11.34
1.0	12	7	0.5	293.25	3.73	11.19	0.27	0.48	11.55
1.0	24	3	0.48	252.03	2.88	13.61	0.28	0.5	21.13
1.0	27	3	0.47	265.46	2.01	14.82	0.29	0.58	27.43
1.0	3	9	0.42	210.99	3.76	10.54	0.27	0.38	4.54
1.0	16	9	0.47	328.77	1.41	11.22	0.38	0.39	15.04
1.0	7	4	0.61	247.8	3.89	9.39	0.27	0.37	6.44
1.0	15	7	0.45	313.9	4.57	13.06	0.28	0.42	13.7
1.0	17	9	0.39	246.18	2.79	12.62	0.33	0.46	18.7
1.0	12	8	0.61	212.0	4.48	8.2	0.28	0.35	12.24
1.0	21	9	0.61	324.27	4.01	13.71	0.4	0.38	21.38
1.0	12	3	0.46	308.05	4.91	13.48	0.36	0.57	10.56
1.0	22	6	0.55	235.56	3.79	9.91	0.31	0.4	22.23
1.0	19	7	0.59	295.14	3.67	14.17	0.35	0.46	19.73
1.0	7	5	0.4	328.15	4.09	12.86	0.32	0.52	7.04
1.0	10	8	0.57	294.74	2.11	12.0	0.31	0.39	10.33
1.0	6	4	0.48	319.67	1.74	12.89	0.3	0.55	5.76
1.0	22	8	0.4	255.55	3.13	14.87	0.31	0.35	23.4
1.0	22	4	0.57	325.45	1.98	9.86	0.31	0.58	18.51
1.0	7	9	0.52	194.44	1.48	11.57	0.34	0.47	8.85
1.0	7	9	0.59	219.38	2.1	11.2	0.28	0.38	7.87
1.0	12	6	0.46	220.35	4.35	9.5	0.27	0.53	12.31
1.0	31	3	0.62	270.49	2.35	11.0	0.35	0.42	27.78
1.0	5	5	0.46	306.39	1.81	14.16	0.37	0.49	5.63
1.0	15	9	0.45	245.18	3.34	14.43	0.38	0.38	14.68
1.0	25	7	0.42	328.09	2.98	13.44	0.35	0.51	21.87
1.0	17	5	0.62	227.6	3.62	10.01	0.28	0.36	15.99
